"Mois";"Archipel";"Classe";"Chambres offertes";"Chambres vendues";"CMR";"RevPar";"RMC"
"mars 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"7440";"2818";"0.37876344086021507";"7617.4939516129034";"20111.481547196592"
"mars 2018";"Îles-Sous-Le-Vent";"Luxe";"22630";"12687";"0.56062748563853293";"42872.849447635883";"76472.970993930794"
"mars 2018";"Îles-Sous-Le-Vent";"Tourisme";"713";"289";"0.4053295932678822";"8768.5820476858353";"21633.214532871971"
"avril 2018";"Autres archipels";"Grand Tourisme";"2040";"796";"0.39019607843137255";"6514.6019607843136";"16695.713567839197"
"avril 2018";"Autres archipels";"Luxe";"2970";"1524";"0.5131313131313131";"15562.925925925925";"30329.324146981628"
"avril 2018";"Îles Du Vent";"Grand Tourisme";"10920";"7005";"0.64148351648351654";"13924.514194139194";"21706.73733047823"
"avril 2018";"Îles Du Vent";"Luxe";"25440";"16674";"0.6554245283018868";"20738.690408805032";"31641.614729519013"
"avril 2018";"Îles Du Vent";"Tourisme";"8040";"4870";"0.60572139303482586";"7552.3315920398009";"12468.32566735113"
"avril 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"7620";"3815";"0.50065616797900259";"10221.616141732284";"20416.439056356488"
"avril 2018";"Îles-Sous-Le-Vent";"Luxe";"21575";"15089";"0.69937427578215527";"47848.877867902665";"68416.696931539525"
"avril 2018";"Îles-Sous-Le-Vent";"Tourisme";"690";"372";"0.53913043478260869";"14495.48695652174";"26886.790322580644"
"mai 2018";"Autres archipels";"Grand Tourisme";"2108";"924";"0.43833017077798864";"7474.5222960151805";"17052.265151515152"
"mai 2018";"Autres archipels";"Luxe";"3007";"1934";"0.64316594612570666";"21672.933488526771";"33697.265253360907"
"mai 2018";"Îles Du Vent";"Grand Tourisme";"11284";"7967";"0.70604395604395609";"15756.503987947537";"22316.604870089119"
"mai 2018";"Îles Du Vent";"Luxe";"26288";"18738";"0.71279671332927574";"22812.677951917223";"32004.465684704879"
"mai 2018";"Îles Du Vent";"Tourisme";"8372";"5571";"0.66543239369326324";"7604.529741997133";"11427.952432238377"
"mai 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"7755";"4990";"0.64345583494519665";"14045.658027079304";"21828.472545090179"
"mai 2018";"Îles-Sous-Le-Vent";"Luxe";"22568";"16732";"0.74140375753278975";"56533.151054590569";"76251.503287114509"
"mai 2018";"Îles-Sous-Le-Vent";"Tourisme";"713";"460";"0.64516129032258063";"16571.884992987376";"25686.421739130434"
"juin 2018";"Autres archipels";"Grand Tourisme";"2040";"679";"0.33284313725490194";"5984.2058823529414";"17979.057437407952"
"juin 2018";"Autres archipels";"Luxe";"2910";"1846";"0.63436426116838485";"21643.790721649486";"34118.868364030335"
"juin 2018";"Îles Du Vent";"Grand Tourisme";"10920";"8506";"0.77893772893772895";"17946.249908424907";"23039.389724900069"
"juin 2018";"Îles Du Vent";"Luxe";"25440";"17879";"0.70279088050314464";"25029.842767295599";"35614.922534817386"
