"Subdivision";"Division";"Groupe";"Classe";"Taille Du Menage";"Dépenses";"Autoconsommation";"Ménages";"Dépenses moyennes par ménage";"Dépenses moyennes par ménage répondant";"Dépenses moyennes mensuelles par ménage";"Dépenses moyennes mensuelles par ménage répondant";"Dépenses moyennes par UC";"Dépenses moyennes par UC répondant";"Dépenses moyennes mensuelles par UC";"Dépenses moyennes mensuelles par UC répondant"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Vêtements  ";"1";"170649626.84145668";"0";"2454.7685358330386";"32650.63388304209";"69517.60394123914";"2720.8861569201745";"5793.133661769928";"32650.63388304209";"69517.60394123914";"2720.8861569201745";"5793.133661769928"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Vêtements  ";"2";"553130029.38294518";"9007611.3049360942";"5780.9300870409234";"47476.682556457403";"95681.840301596705";"3956.3902130381171";"7973.486691799726";"28443.700869352917";"57357.171446757246";"2370.3084057794099";"4779.7642872297711"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Vêtements  ";"3";"827455158.07178962";"55808943.776263028";"7723.3154162975552";"76391.665224714045";"107137.29965316625";"6365.9721020595034";"8928.1083044305215";"33816.180037321559";"47892.099781681187";"2818.0150031101298";"3991.0083151400991"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Vêtements  ";"4";"1004305605.8426176";"92239247.358458713";"7415.1553297280843";"96706.477969781612";"135439.59110556432";"8058.8731641484683";"11286.63259213036";"34112.568074431787";"48073.078881930342";"2842.7140062026488";"4006.0899068275289"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Vêtements  ";"5";"596717426.20536017";"65188958.107648604";"3941.2094709008402";"97607.845391166193";"151404.64636835677";"8133.9871159305167";"12617.053864029729";"28496.454947714377";"44459.417810117266";"2374.7045789761983";"3704.9514841764385"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Vêtements  ";"6 et +";"839881687.9356184";"68683496.519328296";"7106.7467947842852";"87692.468148451866";"118180.8937602809";"7307.7056790376555";"9848.4078133567418";"16812.176348268564";"22418.495744455442";"1401.0146956890467";"1868.20797870462"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Autres articles vestimentaires et accessoires d'habillement";"1";"8160463.8292272547";"0";"255.80616723418746";"1561.3530585182523";"31900.965944094885";"130.11275487652102";"2658.4138286745738";"1561.3530585182523";"31900.965944094885";"130.11275487652102";"2658.4138286745738"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Autres articles vestimentaires et accessoires d'habillement";"2";"16133216.136025064";"6721823.14338936";"673.11170711455031";"1384.7586289235646";"23968.111036404109";"115.39655241029706";"1997.3425863670093";"829.62115498526873";"14155.95059472201";"69.135096248772399";"1179.6625495601675"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Autres articles vestimentaires et accessoires d'habillement";"3";"25614726.354599379";"0";"521.85729461197002";"2364.782648842282";"49083.775620393222";"197.06522073685682";"4090.3146350327688";"1046.8146697306677";"21753.38305994355";"87.234555810888978";"1812.7819216619625"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Autres articles vestimentaires et accessoires d'habillement";"4";"32149465.162593886";"2693835.2695689965";"850.6669699090852";"3095.7325403736331";"37793.244947584899";"257.97771169780276";"3149.4370789654081";"1091.9991012052744";"13727.014072485663";"90.99992510043954";"1143.9178393738052"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Autres articles vestimentaires et accessoires d'habillement";"5";"13989847.343646342";"0";"477.96599860905735";"2288.3844121131906";"29269.545081362692";"190.69870100943254";"2439.1287567802242";"668.09018313539332";"8983.7849110485658";"55.674181927949448";"748.64874258738064"
