Date;SH;Pays;Poids;Valeur;DTE;CodeICSCH;ICSCH
01/07/2018;1061990;FRP;27;10000;219;6;Autre secteur
01/07/2018;1061990;FRP;50;80000;624;6;Autre secteur
01/07/2018;3011900;DEP;33;48800;249;6;Autre secteur
01/07/2018;3011900;HKP;403;782001;2088;6;Autre secteur
01/07/2018;3011900;JPP;207;200161;1114;6;Autre secteur
01/07/2018;3011900;SGP;188;171000;1019;6;Autre secteur
01/07/2018;3011900;TWP;320;215000;1676;6;Autre secteur
01/07/2018;3011900;USP;1271;1856698;6656;6;Autre secteur
01/07/2018;3011900;USP;507;120950;2605;2;Commerce
01/07/2018;3023100;USP;12316;7949340;63760;1;Industrie
01/07/2018;3023100;USP;8318;4879942;43375;2;Commerce
01/07/2018;3023200;CLP;774;326160;4017;1;Industrie
01/07/2018;3023200;JPP;765;912397;3886;1;Industrie
01/07/2018;3023200;USP;30179;40973633;154854;1;Industrie
01/07/2018;3023200;USP;17605;23445520;89885;2;Commerce
01/07/2018;3023400;USP;23894;33496342;123429;1;Industrie
01/07/2018;3023400;USP;7168;9668013;37581;2;Commerce
01/07/2018;3024700;USP;85;107046;508;1;Industrie
01/07/2018;3024700;USP;1211;1358216;6358;2;Commerce
01/07/2018;3028900;USP;8425;7610721;44670;1;Industrie
01/07/2018;3028900;USP;5604;4060801;29875;2;Commerce
01/07/2018;3028900;USP;78;91560;472;2;Commerce
01/07/2018;3034200;ECP;9458;1663476;85;2;Commerce
01/07/2018;3034300;ECP;1590;195520;85;2;Commerce
01/07/2018;3034400;ECP;1469;215415;85;2;Commerce
01/07/2018;3044900;FRP;1956;2521403;9980;1;Industrie
01/07/2018;3044900;USP;644;901001;3879;1;Industrie
01/07/2018;3044900;USP;449;571523;2656;2;Commerce
01/07/2018;3045900;FRP;0;59665;130;3;Services
01/07/2018;3045900;USP;526;544925;2956;1;Industrie
01/07/2018;3079111;DEP;171;252000;934;6;Autre secteur
01/07/2018;3079111;FRP;700;669918;3649;6;Autre secteur
01/07/2018;3079111;USP;768;1041360;4072;6;Autre secteur
01/07/2018;4090000;FRP;0;59665;130;3;Services
01/07/2018;5080020;CNP;54420;4776954;255;6;Autre secteur
01/07/2018;5080020;CNP;21830;1212103;85;1;Industrie
01/07/2018;5080020;CNP;15397;1874070;85;2;Commerce
01/07/2018;5080020;CNP;18900;1512000;85;2;Commerce
01/07/2018;5080020;FRP;599;299500;85;1;Industrie
01/07/2018;5080020;KRP;39720;2169788;85;2;Commerce
01/07/2018;5080020;VNP;20450;1636000;85;2;Commerce
01/07/2018;5080020;VNP;18000;3884706;85;2;Commerce
01/07/2018;6039000;FRP;1061;1474000;85;1;Industrie
01/07/2018;9012130;FRP;26;109140;813;2;Commerce
01/07/2018;9023090;FRP;3;10305;130;2;Commerce
01/07/2018;9024090;FRP;11;97690;1040;2;Commerce
01/07/2018;9051000;DEP;50;3997555;333;2;Commerce
01/07/2018;9051000;FRP;253;17231409;1427;1;Industrie
01/07/2018;9051000;FRP;1;63000;390;2;Commerce
01/07/2018;9051000;FRP;13;480520;260;2;Commerce
01/07/2018;9051000;FRP;40;2004744;283;3;Services
01/07/2018;9052000;FRP;2;67500;520;2;Commerce
01/07/2018;9052000;FRP;65;247255;719;2;Commerce
01/07/2018;12119000;FRP;58;575000;85;1;Industrie
01/07/2018;13021900;MTP;4;1010415;130;3;Services
01/07/2018;13023900;MTP;0;1218526;130;3;Services
01/07/2018;15131100;FRP;376609;34073567;170;1;Industrie
01/07/2018;15131100;FRP;1;12530;130;2;Commerce
01/07/2018;15131900;FRP;2;14530;1400;2;Commerce
01/07/2018;15159090;FRP;4;38950;390;2;Commerce
01/07/2018;17023000;FRP;5;7200;130;2;Commerce
01/07/2018;17029000;NZP;30;30000;234;1;Industrie
01/07/2018;17049000;FRP;9;29900;260;2;Commerce
01/07/2018;18063100;FRP;120;316175;897;2;Commerce
01/07/2018;19053190;FRP;42;334665;464;2;Commerce
01/06/2018;87033299;MQP;1120;1999971;85;6;Autre secteur
01/06/2018;90069900;FRP;1;6400;130;2;Commerce
01/06/2018;61171000;FRP;7;30571;1040;2;Commerce
01/06/2018;61178000;FRP;43;142122;1091;2;Commerce
01/06/2018;73269090;FRP;49;206500;2756;2;Commerce
01/06/2018;73269090;FRP;19;1790;179;3;Services
01/06/2018;76020000;KRP;21720;200000;85;1;Industrie
01/06/2018;76020000;NZP;7340;1127552;85;1;Industrie
01/06/2018;76020000;NZP;49000;2450000;510;2;Commerce
01/06/2018;95030000;FRP;1;5250;130;2;Commerce
01/06/2018;95030000;FRP;15;49350;390;2;Commerce
01/06/2018;95044000;FRP;2;14717;390;2;Commerce
01/06/2018;95049000;FRP;2;7120;260;2;Commerce
01/06/2018;95063900;FRP;4;7760;130;2;Commerce
01/06/2018;96019030;FRP;0;64100;520;2;Commerce
01/06/2018;96019030;FRP;6;68623;520;2;Commerce
01/06/2018;96019090;FRP;1;4400;130;2;Commerce
01/06/2018;96081090;FRP;6;29165;650;2;Commerce
