"Subdivision";"Commune";"Commune associée";"Quartier 2000";"Individus";"Individus des résidences principales";"Individus entre 15 et 64 ans";"Actifs";"Chomeurs";"Emploi";"Inactifs";"Taux de chomage";"Taux d'emploi";"Taux d'emploi des 15-64 ans";"Taux d'activite";"Taux d'activité des 15-64 ans";"Logements";"Résidences principales"
"Australes";"Tubuai";"Mahu";"Mahu";"573";"573";"357";"158";"28";"130";"239";"0.17721518987341772";"0.32745591939546598";"0.36134453781512604";"0.39798488664987408";"0.43977591036414565";"206";"167"
"Australes";"Tubuai";"Mataura";"Mataura";"1025";"956";"679";"468";"106";"362";"291";"0.2264957264957265";"0.4769433465085639";"0.52724594992636231";"0.61660079051383399";"0.68188512518409428";"373";"301"
"Australes";"Tubuai";"Taahuaia";"Taahuaia";"572";"567";"349";"225";"61";"164";"195";"0.27111111111111114";"0.39047619047619048";"0.46418338108882523";"0.5357142857142857";"0.63896848137535822";"243";"180"
"Tuamotu-Gambier";"Anaa";"Anaa";"Anaa";"497";"497";"337";"253";"103";"150";"117";"0.40711462450592883";"0.40540540540540543";"0.44213649851632048";"0.68378378378378379";"0.74777448071216612";"198";"132"
"Tuamotu-Gambier";"Anaa";"Faaite";"Faaite";"401";"401";"262";"129";"46";"83";"154";"0.35658914728682173";"0.29328621908127206";"0.31679389312977096";"0.45583038869257952";"0.49236641221374045";"95";"81"
"Tuamotu-Gambier";"Arutua";"Apataki";"Apataki";"350";"350";"245";"196";"37";"159";"74";"0.18877551020408162";"0.58888888888888891";"0.62040816326530612";"0.72592592592592597";"0.77142857142857146";"137";"105"
"Tuamotu-Gambier";"Arutua";"Arutua";"Arutua";"680";"664";"482";"252";"9";"243";"256";"3.5714285714285712E-2";"0.47834645669291337";"0.50414937759336098";"0.49606299212598426";"0.52282157676348551";"263";"192"
"Tuamotu-Gambier";"Arutua";"Kaukura";"Kaukura";"475";"475";"314";"174";"16";"158";"179";"9.1954022988505746E-2";"0.44759206798866857";"0.49363057324840764";"0.49291784702549574";"0.54458598726114649";"203";"130"
"Tuamotu-Gambier";"Fakarava";"Fakarava";"Fakarava";"824";"808";"573";"357";"18";"339";"269";"5.0420168067226892E-2";"0.54153354632587858";"0.57766143106457246";"0.57028753993610226";"0.60907504363001741";"338";"259"
"Tuamotu-Gambier";"Fakarava";"Kauehi";"Kauehi";"531";"523";"369";"240";"81";"159";"164";"0.33750000000000002";"0.39356435643564358";"0.41192411924119243";"0.59405940594059403";"0.63143631436314362";"212";"148"
